Id,SalePrice
1461,140000
1462,151500
1463,190000
1464,205000
1465,201000
1466,181000
1467,194500
1468,178000
1469,175000
1470,124500
1471,181000
1472,113000
1473,106000
1474,148500
1475,97000
1476,280000
1477,233170
1478,313000
1479,205000
1480,315000
1481,255000
1482,202500
1483,198900
1484,192500
1485,184100
1486,178000
1487,240000
1488,205000
1489,250580
1490,226000
1491,178000
1492,140000
1493,158900
1494,193000
1495,213000
1496,207500
1497,151000
1498,151000
1499,151000
1500,179400
1501,168500
1502,162000
1503,180500
1504,210000
1505,210000
1506,142000
1507,210000
1508,175000
1509,123000
1510,145250
1511,157000
1512,159000
1513,170000
1514,119000
1515,160000
1516,143000
1517,148000
1518,143000
1519,272000
1520,142000
1521,142000
1522,190000
1523,135000
1524,145000
1525,110000
1526,140000
1527,145000
1528,105000
1529,154000
1530,167900
1531,139000
1532,110500
1533,159500
1534,107900
1535,143000
1536,105000
1537,60000
1538,205000
1539,107500
1540,37900
1541,125500
1542,127000
1543,128000
1544,100000
1545,119000
1546,131000
1547,155000
1548,125500
1549,145000
1550,128000
1551,105000
1552,140000
1553,178000
1554,132000
1555,143000
1556,137500
1557,80000
1558,110000
1559,85000
1560,119900
1561,136500
1562,147000
1563,129500
1564,135960
1565,154000
1566,190000
1567,105000
1568,190000
1569,139000
1570,154000
1571,124900
1572,129000
1573,196000
1574,136500
1575,160000
1576,290000
1577,230000
1578,134900
1579,138000
1580,192000
1581,190000
1582,155000
1583,350000
1584,178000
1585,143000
1586,100000
1587,112000
1588,187500
1589,93500
1590,132500
1591,82500
1592,133000
1593,155000
1594,160000
1595,108000
1596,210000
1597,135000
1598,190000
1599,149000
1600,124000
1601,100000
1602,125500
1603,118500
1604,275000
1605,210000
1606,170000
1607,171000
1608,255000
1609,147000
1610,178000
1611,140000
1612,186000
1613,189000
1614,131000
1615,97000
1616,88000
1617,140000
1618,132000
1619,154000
1620,200000
1621,123000
1622,225000
1623,208900
1624,189000
1625,110000
1626,205000
1627,215000
1628,222500
1629,168500
1630,324000
1631,187500
1632,278000
1633,180000
1634,185000
1635,173000
1636,213000
1637,185000
1638,290000
1639,205000
1640,244000
1641,180000
1642,310000
1643,290000
1644,207500
1645,155000
1646,160000
1647,175000
1648,128000
1649,135000
1650,124000
1651,120500
1652,100000
1653,106000
1654,165000
1655,148500
1656,148500
1657,140000
1658,172500
1659,140000
1660,148000
1661,313000
1662,147000
1663,297000
1664,325000
1665,255500
1666,315000
1667,215000
1668,320000
1669,215000
1670,320000
1671,204000
1672,325000
1673,215000
1674,230000
1675,185850
1676,196000
1677,185850
1678,220000
1679,325000
1680,318061
1681,319900
1682,260000
1683,202500
1684,162000
1685,178000
1686,192000
1687,178000
1688,222500
1689,178000
1690,193000
1691,192000
1692,199900
1693,173000
1694,192000
1695,180000
1696,290000
1697,178000
1698,284000
1699,270000
1700,213000
1701,340000
1702,200000
1703,313000
1704,306000
1705,215000
1706,385000
1707,182000
1708,249700
1709,250000
1710,262500
1711,310000
1712,222000
1713,210000
1714,207500
1715,216000
1716,179900
1717,138000
1718,141000
1719,200000
1720,129000
1721,158000
1722,112000
1723,155000
1724,147000
1725,290000
1726,177500
1727,153900
1728,155000
1729,197900
1730,107500
1731,154000
1732,129900
1733,135000
1734,108000
1735,138500
1736,139000
1737,180000
1738,175500
1739,174000
1740,208900
1741,196000
1742,168500
1743,155000
1744,222000
1745,147000
1746,160000
1747,197500
1748,250000
1749,143000
1750,139000
1751,205000
1752,132000
1753,140000
1754,175000
1755,165500
1756,180500
1757,135000
1758,157000
1759,139000
1760,155000
1761,142000
1762,122000
1763,165500
1764,128000
1765,100000
1766,160000
1767,160000
1768,135000
1769,205000
1770,127000
1771,119000
1772,147000
1773,139000
1774,145000
1775,136500
1776,155000
1777,132500
1778,155000
1779,109900
1780,155000
1781,123000
1782,115000
1783,145000
1784,112000
1785,110000
1786,103000
1787,112000
1788,141000
1789,110000
1790,110000
1791,200000
1792,160000
1793,180000
1794,120500
1795,110000
1796,235000
1797,66500
1798,110000
1799,155000
1800,132500
1801,128000
1802,115000
1803,197900
1804,144000
1805,132000
1806,115000
1807,157500
1808,125500
1809,112000
1810,155000
1811,112000
1812,98000
1813,152000
1814,110000
1815,97000
1816,100000
1817,125500
1818,91300
1819,120000
1820,108000
1821,115000
1822,125500
1823,100000
1824,91000
1825,162000
1826,120000
1827,110000
1828,180500
1829,140000
1830,157500
1831,149000
1832,110000
1833,125500
1834,177000
1835,122000
1836,105000
1837,67000
1838,140000
1839,164900
1840,179000
1841,144000
1842,135000
1843,110000
1844,148000
1845,197000
1846,155000
1847,145000
1848,93000
1849,144000
1850,152000
1851,159500
1852,144000
1853,143000
1854,173000
1855,170000
1856,189000
1857,130000
1858,142953
1859,118858
1860,153337
1861,118858
1862,200000
1863,200000
1864,200000
1865,318000
1866,230000
1867,189000
1868,297000
1869,194000
1870,204000
1871,192000
1872,178000
1873,240000
1874,131000
1875,152000
1876,210000
1877,214000
1878,225000
1879,119500
1880,143000
1881,235000
1882,222500
1883,237000
1884,178000
1885,315000
1886,203000
1887,213000
1888,274900
1889,178000
1890,171000
1891,143000
1892,124000
1893,139000
1894,136500
1895,135000
1896,135000
1897,160000
1898,109500
1899,132000
1900,234000
1901,124000
1902,135000
1903,144000
1904,108000
1905,167000
1906,225000
1907,235000
1908,124000
1909,151000
1910,174000
1911,160000
1912,315000
1913,159500
1914,82000
1915,392500
1916,118500
1917,236000
1918,133000
1919,144000
1920,181000
1921,320000
1922,220000
1923,194500
1924,158000
1925,220000
1926,320000
1927,135000
1928,190000
1929,133900
1930,170000
1931,144000
1932,155000
1933,335000
1934,190000
1935,180000
1936,190000
1937,222000
1938,173000
1939,180000
1940,239000
1941,225000
1942,315000
1943,196000
1944,200000
1945,377500
1946,160000
1947,385000
1948,82500
1949,205000
1950,205000
1951,271000
1952,241500
1953,180500
1954,171000
1955,155000
1956,190000
1957,179200
1958,230000
1959,136000
1960,115000
1961,115000
1962,118000
1963,119500
1964,106000
1965,151000
1966,148500
1967,372402
1968,350000
1969,315000
1970,290000
1971,313000
1972,325000
1973,285000
1974,215000
1975,235000
1976,220000
1977,315000
1978,333168
1979,318061
1980,215000
1981,318061
1982,254000
1983,319900
1984,175500
1985,192000
1986,178740
1987,203000
1988,190000
1989,178000
1990,195000
1991,224000
1992,190000
1993,162000
1994,162000
1995,215000
1996,250000
1997,248000
1998,190000
1999,268000
2000,290000
2001,228000
2002,157000
2003,309000
2004,305000
2005,184900
2006,250580
2007,249700
2008,185000
2009,193000
2010,250000
2011,141000
2012,179900
2013,173000
2014,173000
2015,187500
2016,173000
2017,179900
2018,155000
2019,135000
2020,125000
2021,116050
2022,175000
2023,176000
2024,205000
2025,285000
2026,151000
2027,151000
2028,144152
2029,179400
2030,270000
2031,207500
2032,270000
2033,207500
2034,160000
2035,226000
2036,179400
2037,179400
2038,151000
2039,187500
2040,152000
2041,147000
2042,205950
2043,175000
2044,170000
2045,157900
2046,179000
2047,173000
2048,129500
2049,142600
2050,184000
2051,144000
2052,140000
2053,125500
2054,127000
2055,122000
2056,147000
2057,143000
2058,205000
2059,143000
2060,135000
2061,135000
2062,145000
2063,155000
2064,110000
2065,108480
2066,160000
2067,180000
2068,119000
2069,115000
2070,117000
2071,139000
2072,117500
2073,131400
2074,133000
2075,129000
2076,110000
2077,141000
2078,139000
2079,105000
2080,135000
2081,111250
2082,141000
2083,135000
2084,145000
2085,155000
2086,140000
2087,120000
2088,178000
2089,110000
2090,144000
2091,107500
2092,140000
2093,105000
2094,115000
